Title,Authors,CorporateAuthors,Editors,BookEditors,SourceTitle,PublicationDate,PublicationYear,Volume,Issue,PartNumber,Supplement,SpecialIssue,BeginningPage,EndingPage,ArticleNumber,DOI,ConferenceTitle,ConferenceDate,TotalCitations,AveragePerYear,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Organic matter exchange and cycling in mangrove ecosystems: Recent insights from stable isotope studies,"Bouillon, S.; Connolly, R. M.; Lee, S. Y.",,,,JOURNAL OF SEA RESEARCH,2008,2008,59,2-Jan,,,,44,58,,10.1016/j.seares.2007.05.001,2nd Meeting on Mangrove Macrobenthos,"JUN 26-30, 2006",211,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,14,11,9,21,18,21,14,24,31,27,0
How effective were mangroves as a defence against the recent tsunami?,"Dahdouh-Guebas, F; Jayatissa, LP; Di Nitto, D; Bosire, JO; Lo Seen, D; Koedam, N",,,,CURRENT BIOLOGY,JUN 21 2005,2005,15,12,,,,R443,R447,,10.1016/j.cub.2005.06.008,,,206,12.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,6,13,16,9,15,12,11,17,19,22,14,21,16,0
"CARBON OUTWELLING FROM A MANGROVE FOREST WITH ADJACENT SEAGRASS BEDS AND CORAL-REEFS (GAZI BAY, KENYA)","HEMMINGA, MA; SLIM, FJ; KAZUNGU, J; GANSSEN, GM; NIEUWENHUIZE, J; KRUYT, NM",,,,MARINE ECOLOGY PROGRESS SERIES,Apr-94,1994,106,3,,,,291,301,,10.3354/meps106291,,,160,5.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,10,6,6,6,3,10,3,10,5,4,4,10,12,2,5,6,8,7,8,3,5,10,4,0
Sources of organic carbon in mangrove sediments: variability and possible ecological implications,"Bouillon, S; Dahdouh-Guebas, F; Rao, AVVS; Koedam, N; Dehairs, F",,,,HYDROBIOLOGIA,3-Mar,2003,495,3-Jan,,,,33,39,,10.1023/A:1025411506526,,,144,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,3,2,9,3,2,13,7,9,10,8,13,19,18,19,0
Mangroves as indicators of coastal change,"Blasco, F; Saenger, P; Janodet, E",,,,CATENA,Oct-96,1996,27,4-Mar,,,,167,178,,10.1016/0341-8162(96)00013-6,,,140,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,0,3,6,3,6,11,6,8,4,8,6,9,9,13,9,9,13,8,0
Trophic relationships in an interlinked mangrove-seagrass ecosystem as traced by delta C-13 and delta N-15,"Marguillier, S; vanderVelde, G; Dehairs, F; Hemminga, MA; Rajagopal, S",,,,MARINE ECOLOGY PROGRESS SERIES,1997,1997,151,3-Jan,,,,115,121,,10.3354/meps151115,,,126,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,5,5,8,5,12,5,9,5,9,9,7,7,3,5,2,7,2,5,3,3,0
Sources of suspended organic matter and selective feeding by zooplankton in an estuarine mangrove ecosystem as traced by stable isotopes,"Bouillon, S; Mohan, PC; Sreenivas, N; Dehairs, F",,,,MARINE ECOLOGY PROGRESS SERIES,2000,2000,208,,,,,79,92,,10.3354/meps208079,,,125,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,8,6,6,4,9,5,5,11,8,6,11,6,7,8,8,8,0
Resource utilization patterns of epifauna from mangrove forests with contrasting inputs of local versus imported organic matter,"Bouillon, S; Moens, T; Overmeer, I; Koedam, N; Dehairs, F",,,,MARINE ECOLOGY PROGRESS SERIES,2004,2004,278,,,,,77,88,,10.3354/meps278077,,,104,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,9,5,5,10,6,4,7,12,9,13,12,7,0
Utilization of mangrove wood products around Mida Creek (Kenya) amongst subsistence and commercial users,"Dahdouh-Guebas, F; Mathenge, C; Kairo, JG; Koedam, N",,,,ECONOMIC BOTANY,OCT-DEC 2000,2000,54,4,,,,513,527,,10.1007/BF02866549,,,94,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,8,3,13,6,3,8,3,6,6,3,4,9,6,5,0
Natural barriers to natural disasters: replanting mangroves after the tsunami,"Barbier, EB",,,,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,6-Apr,2006,4,3,,,,124,131,,10.1890/1540-9295(2006)004[0124:NBTNDR]2.0.CO;2,,,90,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,4,6,3,3,8,9,5,6,11,9,11,0
